product,price,link,years,kilometraje,created,id,city,state
chevrolet sonic 1.6 lt 5 p,27400000,https://carro.mercadolibre.com.co/mco-2315215704-chevrolet-sonic-16-modelo-2013-_jm#position=10&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2013,53000,2024-04-09,2315215704,bosa,bogota d.c.
nissan kicks 1.6 advance mt,95000000,https://carro.mercadolibre.com.co/mco-2315189784-nissan-kicks-_jm#position=11&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2023,25000,2024-04-09,2315189784,tunjuelito,bogota d.c.
chevrolet trailblazer 2.8 ltz,85000000,https://carro.mercadolibre.com.co/mco-2315177502-chevrolet-trail-blazer-_jm#position=12&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2013,62000,2024-04-09,2315177502,bosa,bogota d.c.
mazda bt-50 2.5 4x4 diesel,67000000,https://carro.mercadolibre.com.co/mco-1411348239-mazda-bt-50-_jm#position=13&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2009,160,2024-04-09,1411348239,engativa,bogota d.c.
bmw ix3 m sport at electrico,305000000,https://carro.mercadolibre.com.co/mco-2315266534-bmw-ix3-m-sport-at-electrico-_jm#position=14&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2024,1000,2024-04-09,2315266534,suba,bogota d.c.
nissan x-trail 1.5 e-power hybrid,227000000,https://carro.mercadolibre.com.co/mco-2315279056-nissan-x-trail-e-power-_jm#position=15&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2024,19030,2024-04-09,2315279056,suba,bogota d.c.
suzuki grand vitara 2.0 sz 4x4,40500000,https://carro.mercadolibre.com.co/mco-2315278792-zuzuki-grand-vitara-_jm#position=16&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2009,146095,2024-04-09,2315278792,kennedy,bogota d.c.
mercedes-benz clase glc 2.0 250 4matic,155500000,https://carro.mercadolibre.com.co/mco-2315239940-mercedes-benz-clase-glc-20-250-4matic-_jm#position=17&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2019,34000,2024-04-09,2315239940,usaquen,bogota d.c.
toyota prado 3.0 txl 4x4,165000000,https://carro.mercadolibre.com.co/mco-2315162940-toyota-prado-_jm#position=18&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2011,113000,2024-04-09,2315162940,kennedy,bogota d.c.
ford focus 2.0 titanium,38000000,https://carro.mercadolibre.com.co/mco-2315278136-ford-focus-titanium-_jm#position=19&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2014,94000,2024-04-09,2315278136,suba,bogota d.c.
renault duster 1.6 zen,81500000,https://carro.mercadolibre.com.co/mco-2315238648-renault-duster-16-zen-2023-_jm#position=20&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2023,20000,2024-04-09,2315238648,kennedy,bogota d.c.
